 GRIDDED EMISSIONS, 1 X 1 degree
 Format: long, lat, value (long/lat = lower left hand corner of cell)
 
 File created: Fri Jul 14 15:35:23 2000
 Scenario: SRES v1.1 B2MESSAGE
 Year: 2000
 Gas: NOx
 Units: MtN                                               
 Grand Total:    32.0014999999999     
 Reg tots:    12.1483    2.9234    8.9681    7.9617
 Contact: ssmith@pnl.gov with questions
 - - - - - - - - - - - - - - - - - - - - -
-170, -20,        0.0000789962
-167,  65,        0.0000378456
-166,  68,        0.0000622657
-166,  65,        0.0000378456
-166,  64,        0.0000393031
-166,  61,        0.0000435526
-165,  68,        0.0000622657
-165,  66,        0.0000677444
-165,  65,        0.0000378456
-165,  64,        0.0000393031
-165,  62,        0.0000421412
-165,  61,        0.0000435526
-165,  60,        0.0000449485
-164,  68,        0.0000622657
-164,  67,        0.0000650153
-164,  65,        0.0000378456
-164,  62,        0.0000421412
-164,  61,        0.0000435526
-164,  60,        0.0000449485
-163,  69,        0.0000594975
-163,  68,        0.0000622657
-163,  67,        0.0000650153
-163,  65,        0.0000378456
-163,  61,        0.0000435526
-163,  60,        0.0000449485
-163,  55,        0.0001420319
-162,  69,        0.0000594975
-162,  68,        0.0000622657
-162,  65,        0.0000378456
-162,  60,        0.0000449485
-162,  59,        0.0000463291
-162,  55,        0.0000516982
-161,  69,        0.0000594975
-161,  68,        0.0000622657
-161,  67,        0.0000650153
-161,  66,        0.0000677444
-161,  63,        0.0000407299
-161,  60,        0.0000449485
-161,  59,        0.0000463291
-161,  55,        0.0000516982
-160,  70,        0.0000567116
-160,  69,        0.0000594975
-160,  68,        0.0000622657
-160,  66,        0.0000677444
-160,  60,        0.0000449485
-160,  59,        0.0000463291
-160,  56,        0.0000503792
-159,  70,        0.0000567116
-159,  69,        0.0000594975
-159,  68,        0.0000622657
-159,  66,        0.0000677444
-159,  60,        0.0000449485
-159,  59,        0.0000463291
-159,  56,        0.0000503792
-159, -20,        0.0000053143
-158,  70,        0.0000567116
-158,  69,        0.0000594975
-158,  68,        0.0000622657
-158,  67,        0.0000650153
-158,  59,        0.0000463291
-158,  57,        0.0001393777
-158,  21,        0.0140464735
-157,  70,        0.0000567116
-157,  69,        0.0000594975
-157,  68,        0.0000622657
-157,  67,        0.0000650153
-157,  59,        0.0000463291
-157,  58,        0.0000476942
-157,  57,        0.0000490440
-156,  70,        0.0000567116
